iter	MultiClass
0	1.072420052
1	1.044350654
2	1.021696241
3	1.000042162
4	0.9788001625
5	0.9584033455
6	0.9378152414
7	0.9181330995
8	0.8986068675
9	0.8824311181
10	0.8666770003
11	0.8507454897
12	0.8357993771
13	0.8183971692
14	0.8028004866
15	0.7884862273
16	0.7750826252
17	0.7627682373
18	0.7539134232
19	0.744899276
20	0.7325283789
21	0.7220341358
22	0.710599132
23	0.6995398355
24	0.6889765013
25	0.6795343916
26	0.6709892817
27	0.6614893541
28	0.652353685
29	0.6439003227
30	0.6343957649
31	0.6263627015
32	0.6181615153
33	0.6111196932
34	0.605948858
35	0.5987873155
36	0.5910369088
37	0.5833508341
38	0.5773155938
39	0.5712832963
40	0.5647898783
41	0.5585239343
42	0.5518929472
43	0.5457828818
44	0.5395873735
45	0.5334532137
46	0.5274247011
47	0.5217222403
48	0.5166389926
49	0.5114304582
50	0.5062323067
51	0.5004457167
52	0.4961711984
53	0.4905919571
54	0.4858821838
55	0.4806500166
56	0.4757010537
57	0.47127857
58	0.4667252924
59	0.4618901532
60	0.4581759957
61	0.4535100151
62	0.4495946529
63	0.4458998296
64	0.4409341962
65	0.4371568158
66	0.433457906
67	0.4297109934
68	0.4259076834
69	0.4221181434
70	0.418884287
71	0.4160593904
72	0.4123385355
73	0.4089508965
74	0.4054072391
75	0.4016675539
76	0.3982572613
77	0.3950696771
78	0.3916555939
79	0.3881636166
80	0.385385179
81	0.3819620569
82	0.378857798
83	0.3759572512
84	0.3731786162
85	0.3698038273
86	0.3666224358
87	0.3640297185
88	0.3610048609
89	0.3578294499
90	0.3549791967
91	0.3525727442
92	0.3498516211
93	0.3471927758
94	0.344336577
95	0.3417023294
96	0.3395617328
97	0.3367584774
98	0.334399115
99	0.331783278
100	0.3295836794
101	0.3268140383
102	0.3245494966
103	0.3219402511
104	0.3195469509
105	0.3169560383
106	0.3147626467
107	0.3126752523
108	0.3107157481
109	0.3085323843
110	0.3065300915
111	0.3045858414
112	0.3024162835
113	0.3004294465
114	0.2979668196
