iter	Passed	Remaining
0	0	450
1	1	438
2	2	423
3	3	417
4	4	414
5	4	409
6	6	423
7	7	469
8	8	474
9	10	496
10	11	509
11	12	509
12	13	500
13	14	491
14	14	484
15	15	477
16	16	470
17	17	465
18	18	459
19	18	454
20	19	450
21	20	446
22	21	446
23	22	455
24	24	458
25	25	456
26	26	459
27	27	457
28	28	455
29	28	452
30	29	448
31	30	445
32	31	442
33	32	439
34	32	436
35	33	433
36	34	430
37	35	427
38	36	425
39	36	425
40	38	433
41	39	433
42	40	432
43	41	430
44	42	428
45	43	426
46	44	424
47	44	422
48	45	419
49	46	417
50	47	415
51	48	413
52	48	411
53	49	409
54	50	407
55	51	405
56	52	404
57	54	412
58	55	412
59	56	411
60	57	410
61	57	408
62	58	406
63	59	405
64	60	403
65	61	401
66	61	399
67	62	397
68	63	396
69	64	394
70	65	392
71	65	391
72	66	389
73	67	388
74	68	388
75	69	389
76	70	389
77	71	388
78	73	390
79	74	391
80	75	389
81	76	388
82	76	386
83	77	385
84	78	383
85	79	381
86	80	380
87	80	379
88	81	377
89	82	376
90	83	375
91	85	377
92	86	376
93	87	375
94	87	374
95	88	373
96	89	372
97	90	370
98	91	370
99	92	368
100	93	367
101	93	366
102	94	364
103	95	363
104	96	362
105	97	360
106	97	359
107	98	358
108	100	359
109	101	358
110	102	357
111	103	356
112	104	356
113	104	355
114	107	358
115	108	357
116	109	357
117	109	356
118	110	354
119	111	353
120	112	352
121	113	350
122	113	349
123	115	350
124	116	349
125	117	349
126	118	348
127	119	347
128	121	350
129	122	349
130	123	348
131	124	347
132	125	346
133	126	344
134	127	343
135	127	342
136	128	340
137	129	339
138	131	340
139	132	339
140	133	339
141	134	338
142	135	337
143	136	338
144	138	338
145	139	337
146	140	336
147	141	335
148	141	334
149	142	332
150	143	331
151	144	330
152	144	328
153	146	329
154	147	328
155	148	327
156	149	326
157	150	325
158	152	327
159	153	326
160	154	324
161	155	323
162	156	322
163	156	321
164	158	320
165	159	319
166	159	318
167	161	318
168	162	318
169	163	317
170	164	316
171	165	315
172	167	316
173	168	315
174	169	315
175	170	314
176	171	313
177	172	311
178	173	310
179	173	309
180	174	307
181	175	306
182	176	306
183	178	305
184	179	304
185	180	303
186	181	302
187	182	302
188	183	301
189	184	300
190	184	299
191	185	297
192	186	296
193	187	295
194	187	294
195	188	292
196	189	291
197	190	290
198	191	290
199	193	289
200	193	288
201	194	287
202	195	286
203	196	285
204	197	283
205	198	282
206	198	281
207	199	280
208	200	279
209	201	277
210	201	276
211	202	275
212	203	274
213	204	273
214	205	271
215	205	270
216	209	273
217	210	272
218	211	271
219	212	269
220	212	268
221	213	267
222	214	266
223	215	265
224	216	264
225	216	262
226	217	261
227	218	260
228	219	259
229	219	258
230	220	256
231	221	255
232	222	254
233	223	254
234	225	254
235	226	253
236	227	252
237	228	251
238	229	250
239	230	249
240	231	248
241	231	247
242	232	246
243	233	244
244	234	243
245	234	242
246	235	241
247	236	240
248	237	239
249	238	238
250	240	238
251	241	238
252	242	237
253	243	236
254	244	235
255	245	233
256	246	232
257	246	231
258	247	230
259	248	229
260	249	228
261	250	227
262	250	226
263	251	224
264	252	223
265	253	222
266	255	223
267	256	222
268	258	221
269	258	220
270	259	219
271	260	218
272	261	217
273	262	216
274	263	215
275	263	214
276	264	213
277	265	212
278	266	210
279	267	209
280	267	208
281	268	207
282	270	207
283	271	206
284	272	205
285	272	204
286	274	203
287	275	202
288	275	201
289	276	200
290	277	199
291	278	198
292	279	197
293	279	196
294	280	195
295	281	193
296	282	192
297	282	191
298	283	190
299	285	190
300	286	189
301	287	188
302	288	187
303	289	186
304	289	185
305	290	184
306	291	183
307	292	182
308	293	181
309	293	180
310	294	179
311	295	177
312	296	176
313	296	175
314	297	174
315	298	173
316	299	172
317	300	171
318	301	171
319	302	170
320	303	169
321	304	168
322	305	167
323	306	166
324	306	165
325	307	164
326	308	163
327	309	162
328	309	161
329	310	160
330	311	159
331	312	158
332	313	156
333	313	155
334	314	154
335	316	154
336	318	153
337	319	152
338	319	151
339	320	150
340	321	149
341	322	148
342	322	147
343	323	146
344	324	145
345	325	144
346	326	143
347	326	142
348	327	141
349	328	140
350	329	139
351	330	138
352	331	138
353	332	137
354	333	136
355	334	135
356	335	134
357	336	133
358	337	132
359	337	131
360	338	130
361	339	129
362	340	128
363	340	127
364	341	126
365	342	125
366	343	124
367	344	123
368	344	122
369	345	121
370	347	120
371	348	120
372	349	119
373	350	118
374	351	117
375	352	116
376	352	115
377	353	114
378	354	113
379	355	112
380	355	111
381	356	110
382	357	109
383	358	108
384	359	107
385	359	106
386	360	105
387	362	104
388	363	103
389	364	102
390	365	101
391	366	100
392	367	100
393	368	99
394	369	98
395	369	97
396	370	96
397	371	95
398	372	94
399	372	93
400	373	92
401	374	91
402	375	90
403	376	89
404	377	88
405	378	87
406	379	86
407	380	85
408	381	84
409	382	83
410	383	82
411	383	81
412	384	81
413	385	80
414	386	79
415	386	78
416	387	77
417	388	76
418	389	75
419	390	74
420	390	73
421	391	72
422	392	71
423	394	70
424	395	69
425	395	68
426	396	67
427	397	66
428	398	65
429	399	64
430	399	64
431	400	63
432	401	62
433	402	61
434	403	60
435	404	59
436	405	58
437	405	57
438	406	56
439	407	55
440	408	54
441	409	53
442	410	52
443	411	51
444	413	51
445	414	50
446	415	49
447	417	48
448	418	47
449	419	46
450	420	45
451	421	44
452	423	43
453	426	43
454	428	42
455	429	41
456	429	40
457	430	39
458	431	38
459	432	37
460	433	36
461	434	35
462	435	34
463	436	33
464	437	32
465	439	32
466	441	31
467	443	30
468	444	29
469	445	28
470	446	27
471	447	26
472	448	25
473	449	24
474	450	23
475	450	22
476	451	21
477	452	20
478	455	19
479	457	19
480	459	18
481	460	17
482	461	16
483	462	15
484	463	14
485	464	13
486	465	12
487	466	11
488	466	10
489	467	9
490	468	8
491	470	7
492	471	6
493	473	5
494	474	4
495	475	3
496	475	2
497	476	1
498	477	0
499	478	0
